EXEC_FULLNAME,CO_PER_ROL,CONAME,SALARY,AGE,EXECRANKANN,TDC1,TDC1_PCT,GVKEY,EXECID,YEAR,GENDER,TICKER
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,687.884,52,1,12301.976,-30.344,1045,46191,2014,MALE,AAL
J. Scott Kirby,49257,AMERICAN AIRLINES GROUP INC,642.512,47,2,8779.785,-33.905,1045,46192,2014,MALE,AAL
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,591.254,50,3,6271.586,-34.609,1045,46193,2014,MALE,AAL
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,584.178,50,3,5220.943,-7.262,1045,46189,2015,MALE,AAL
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,584.178,58,4,5091.032,-10.44,1045,46190,2015,MALE,AAL
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,231.538,53,5,11418.547,-7.181,1045,46191,2015,MALE,AAL
J. Scott Kirby,49257,AMERICAN AIRLINES GROUP INC,660.375,48,1,8301.783,-5.444,1045,46192,2015,MALE,AAL
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,609.577,51,2,6168.618,-1.642,1045,46193,2015,MALE,AAL
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,600.936,51,2,4190.982,-19.727,1045,46189,2016,MALE,AAL
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,600.936,59,3,4220.486,-17.1,1045,46190,2016,MALE,AAL
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,0,54,6,140.763,-98.767,1045,46191,2016,MALE,AAL
J. Scott Kirby,49257,AMERICAN AIRLINES GROUP INC,475.625,49,5,9403.369,13.269,1045,46192,2016,MALE,AAL
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,641.306,52,1,3462.114,-43.875,1045,46193,2016,MALE,AAL
Maya Leibman,55169,AMERICAN AIRLINES GROUP INC,600.936,49,4,4220.275,,1045,51368,2016,FEMALE,AAL
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,616.396,52,2,4108.466,-1.969,1045,46189,2017,MALE,AAL
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,616.396,60,3,4146.196,-1.76,1045,46190,2017,MALE,AAL
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,0,55,5,18115.486,12769.494,1045,46191,2017,MALE,AAL
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,710.769,53,1,8638.881,149.526,1045,46193,2017,MALE,AAL
Maya Leibman,55169,AMERICAN AIRLINES GROUP INC,616.396,50,4,4117.593,-2.433,1045,51368,2017,FEMALE,AAL
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,626.421,53,2,3850.153,-6.287,1045,46189,2018,MALE,AAL
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,626.421,61,3,3897.744,-5.992,1045,46190,2018,MALE,AAL
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,0,56,5,11999.517,-33.761,1045,46191,2018,MALE,AAL
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,722.329,54,1,6686.526,-22.6,1045,46193,2018,MALE,AAL
Maya Leibman,55169,AMERICAN AIRLINES GROUP INC,626.421,51,4,3861.268,-6.225,1045,51368,2018,FEMALE,AAL
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,648.214,54,2,4082.352,6.031,1045,46189,2019,MALE,AAL
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,648.214,62,3,4127.229,5.888,1045,46190,2019,MALE,AAL
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,0,57,5,11571.714,-3.565,1045,46191,2019,MALE,AAL
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,747.459,55,1,7089.307,6.024,1045,46193,2019,MALE,AAL
Maya Leibman,55169,AMERICAN AIRLINES GROUP INC,648.214,52,4,4105.727,6.331,1045,51368,2019,FEMALE,AAL
Steven M. Wheeler,25367,PINNACLE WEST CAPITAL CORP,352.364,61,6,1848.055,120.526,1075,24723,2010,MALE,PNW
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,960,55,1,4804.487,20.195,1075,5835,2010,MALE,PNW
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,800,56,2,2144.584,-9.418,1075,33218,2010,MALE,PNW
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,468,52,5,1203.756,-21.99,1075,12755,2010,MALE,PNW
Donald G. Robinson,42212,PINNACLE WEST CAPITAL CORP,550,56,4,2181.011,6.897,1075,39817,2010,MALE,PNW
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,459,57,3,1793.193,-9.831,1075,40058,2010,MALE,PNW
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1091,56,1,6697.916,39.41,1075,5835,2011,MALE,PNW
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,800,57,2,2516.2,17.328,1075,33218,2011,MALE,PNW
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,490,53,4,1563.091,29.851,1075,12755,2011,MALE,PNW
Donald G. Robinson,42212,PINNACLE WEST CAPITAL CORP,610,57,3,2818.933,29.249,1075,39817,2011,MALE,PNW
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,473,58,5,1753.572,-2.21,1075,40058,2011,MALE,PNW
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1146,57,1,10122.665,51.132,1075,5835,2012,MALE,PNW
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,900,58,2,6226.443,147.454,1075,33218,2012,MALE,PNW
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,515,54,4,1435.839,-8.141,1075,12755,2012,MALE,PNW
Donald G. Robinson,42212,PINNACLE WEST CAPITAL CORP,685,58,3,2957.382,4.911,1075,39817,2012,MALE,PNW
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,487,59,5,1589.269,-9.37,1075,40058,2012,MALE,PNW
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1203.3,58,1,7123.873,-29.625,1075,5835,2013,MALE,PNW
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,925,59,2,2261.421,-63.68,1075,33218,2013,MALE,PNW
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,540,55,3,1749.237,21.827,1075,12755,2013,MALE,PNW
Donald G. Robinson,42212,PINNACLE WEST CAPITAL CORP,241.622,59,6,1855.018,-37.275,1075,39817,2013,MALE,PNW
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,502,60,4,1684.828,6.013,1075,40058,2013,MALE,PNW
Mark A. Schiavoni,48682,PINNACLE WEST CAPITAL CORP,485,57,5,1656.597,,1075,45681,2013,MALE,PNW
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1240,59,1,7376.177,3.542,1075,5835,2014,MALE,PNW
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,960.511,60,2,3732.274,65.041,1075,33218,2014,MALE,PNW
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,570,56,3,1851.657,5.855,1075,12755,2014,MALE,PNW
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,522,61,5,1995.302,18.428,1075,40058,2014,MALE,PNW
Mark A. Schiavoni,48682,PINNACLE WEST CAPITAL CORP,563.958,58,4,1912.586,15.453,1075,45681,2014,MALE,PNW
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1277,60,1,7833.951,6.206,1075,5835,2015,MALE,PNW
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,1050,61,2,3144.924,-15.737,1075,33218,2015,MALE,PNW
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,593,57,4,1927.443,4.093,1075,12755,2015,MALE,PNW
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,544,62,5,1824.275,-8.571,1075,40058,2015,MALE,PNW
Mark A. Schiavoni,48682,PINNACLE WEST CAPITAL CORP,640,59,3,2351.104,22.928,1075,45681,2015,MALE,PNW
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1315,61,1,9240.37,17.953,1075,5835,2016,MALE,PNW
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,1100,62,2,4042.927,28.554,1075,33218,2016,MALE,PNW
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,620,58,4,2028.249,5.23,1075,12755,2016,MALE,PNW
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,565,63,5,1912.159,4.817,1075,40058,2016,MALE,PNW
Mark A. Schiavoni,48682,PINNACLE WEST CAPITAL CORP,680,60,3,2441.379,3.84,1075,45681,2016,MALE,PNW
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1355,62,1,8161.669,-11.674,1075,5835,2017,MALE,PNW
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,244.11,63,6,2365.54,-41.489,1075,33218,2017,MALE,PNW
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,640,59,3,2245.209,10.697,1075,12755,2017,MALE,PNW
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,585,64,5,1970.525,3.052,1075,40058,2017,MALE,PNW
Mark A. Schiavoni,48682,PINNACLE WEST CAPITAL CORP,710,61,2,2666.349,9.215,1075,45681,2017,MALE,PNW
Robert S. Bement,58578,PINNACLE WEST CAPITAL CORP,600,61,4,2144.049,,1075,53931,2017,MALE,PNW
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1395,63,1,9935.099,21.729,1075,5835,2018,MALE,PNW
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,665,60,2,2080.149,-7.352,1075,12755,2018,MALE,PNW
Mark A. Schiavoni,48682,PINNACLE WEST CAPITAL CORP,507.202,62,5,1412.608,-47.021,1075,45681,2018,MALE,PNW
Robert S. Bement,58578,PINNACLE WEST CAPITAL CORP,625,62,3,2109.42,-1.615,1075,53931,2018,MALE,PNW
Daniel T. Froetscher,61548,PINNACLE WEST CAPITAL CORP,494.534,56,6,1195.197,,1075,56356,2018,MALE,PNW
Jeffrey B. Guldner,61549,PINNACLE WEST CAPITAL CORP,575,52,4,1871.942,,1075,56357,2018,MALE,PNW
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1308.521,64,1,9560.511,-3.77,1075,5835,2019,MALE,PNW
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,686,61,4,2274.42,9.339,1075,12755,2019,MALE,PNW
Robert S. Bement,58578,PINNACLE WEST CAPITAL CORP,645,63,5,2165.077,2.638,1075,53931,2019,MALE,PNW
Daniel T. Froetscher,61548,PINNACLE WEST CAPITAL CORP,540,57,6,1693.257,41.672,1075,56356,2019,MALE,PNW
Jeffrey B. Guldner,61549,PINNACLE WEST CAPITAL CORP,777.644,53,2,3390.261,81.109,1075,56357,2019,MALE,PNW
Robert E. Smith,63505,PINNACLE WEST CAPITAL CORP,600,49,3,2020.553,,1075,58043,2019,MALE,PNW
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1893.371,55,1,20023.899,-1.455,1078,14300,2010,MALE,ABT
Richard A. Gonzalez,18545,ABBOTT LABORATORIES,742.08,56,2,7288.253,,1078,18569,2010,MALE,ABT
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,941.923,56,3,7245.244,-39.781,1078,24400,2010,MALE,ABT
Laura J. Schumacher,37037,ABBOTT LABORATORIES,823.329,47,4,6498.332,33.553,1078,35171,2010,FEMALE,ABT
James V. Mazzo,40086,ABBOTT LABORATORIES,814.648,53,5,11109.909,5.132,1078,16462,2010,MALE,ABT
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1900,56,1,18591.822,-7.152,1078,14300,2011,MALE,ABT
Richard A. Gonzalez,18545,ABBOTT LABORATORIES,825,57,4,4326.578,-40.636,1078,18569,2011,MALE,ABT
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,946.7,57,2,5198.813,-28.245,1078,24400,2011,MALE,ABT
Laura J. Schumacher,37037,ABBOTT LABORATORIES,827.5,48,3,4071.145,-37.351,1078,35171,2011,FEMALE,ABT
Edward L. Michael,45025,ABBOTT LABORATORIES,634.4,54,5,3799.658,,1078,42389,2011,MALE,ABT
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1900,57,3,16898.889,-9.106,1078,14300,2012,MALE,ABT
Richard A. Gonzalez,18545,ABBOTT LABORATORIES,863.942,58,5,7155.074,65.375,1078,18569,2012,MALE,ABT
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,946.7,58,1,6884.95,32.433,1078,24400,2012,MALE,ABT
Laura J. Schumacher,37037,ABBOTT LABORATORIES,831.682,49,2,8414.545,106.687,1078,35171,2012,FEMALE,ABT
Carlos Alban,46615,ABBOTT LABORATORIES,615.769,49,4,4401.581,,1078,43709,2012,MALE,ABT
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1900,58,1,13467.295,-20.307,1078,14300,2013,MALE,ABT
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,969.748,59,2,4105.277,-40.373,1078,24400,2013,MALE,ABT
Richard W. Ashley,48319,ABBOTT LABORATORIES,629.532,69,4,3545.806,,1078,45354,2013,MALE,ABT
Hubert L. Allen,48320,ABBOTT LABORATORIES,650,47,3,2625.637,,1078,45355,2013,MALE,ABT
Brian J. Blaser,48321,ABBOTT LABORATORIES,614.608,48,5,2599.102,,1078,45356,2013,MALE,ABT
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1973.077,59,1,16179.509,20.139,1078,14300,2014,MALE,ABT
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,1012.604,60,2,4938.687,20.301,1078,24400,2014,MALE,ABT
John M. Capek,37036,ABBOTT LABORATORIES,696.807,52,4,3269.165,,1078,23166,2014,MALE,ABT
Brian J. Blaser,48321,ABBOTT LABORATORIES,690,49,5,3686.654,41.843,1078,45356,2014,MALE,ABT
John C. Landgraf,49996,ABBOTT LABORATORIES,743.269,61,3,3370.504,,1078,46837,2014,MALE,ABT
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1900,60,1,18789.474,16.131,1078,14300,2015,MALE,ABT
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,975.1,61,2,2157.725,-56.31,1078,24400,2015,MALE,ABT
John M. Capek,37036,ABBOTT LABORATORIES,675,53,3,2488.549,-23.878,1078,23166,2015,MALE,ABT
Brian J. Blaser,48321,ABBOTT LABORATORIES,675,50,4,2604.945,-29.341,1078,45356,2015,MALE,ABT
Brian B. Yoor,51943,ABBOTT LABORATORIES,437.884,45,6,1738.858,,1078,48541,2015,MALE,ABT
Michael J. Warmuth,51944,ABBOTT LABORATORIES,675,52,5,2247.118,,1078,48542,2015,MALE,ABT
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1900,61,1,16424.876,-12.585,1078,14300,2016,MALE,ABT
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,999.443,62,2,6749.297,212.797,1078,24400,2016,MALE,ABT
Brian J. Blaser,48321,ABBOTT LABORATORIES,692.057,51,3,4547.747,74.581,1078,45356,2016,MALE,ABT
Brian B. Yoor,51943,ABBOTT LABORATORIES,584.231,46,5,3137.094,80.411,1078,48541,2016,MALE,ABT
Michael J. Warmuth,51944,ABBOTT LABORATORIES,691.875,53,4,5660.582,151.904,1078,48542,2016,MALE,ABT
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1900,62,1,15620.117,-4.9,1078,14300,2017,MALE,ABT
Hubert L. Allen,48320,ABBOTT LABORATORIES,690.1,51,2,3921.307,,1078,45355,2017,MALE,ABT
Brian B. Yoor,51943,ABBOTT LABORATORIES,643.269,47,4,3523.535,12.318,1078,48541,2017,MALE,ABT
Michael T. Rousseau,59833,ABBOTT LABORATORIES,644.231,61,,18808.6,,1078,23306,2017,MALE,ABT
Robert B. Ford,59834,ABBOTT LABORATORIES,675,43,3,3752.16,,1078,54877,2017,MALE,ABT
Eric S. Fain,59835,ABBOTT LABORATORIES,556.971,56,6,13330.823,,1078,37076,2017,MALE,ABT
Daniel Gesua Sive Salvadori,59836,ABBOTT LABORATORIES,608.461,38,5,3909.027,,1078,54878,2017,MALE,ABT
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1900,63,1,22872.393,46.429,1078,14300,2018,MALE,ABT
Stephen R. Fussell,34107,ABBOTT LABORATORIES,620,61,5,6783.297,,1078,32571,2018,MALE,ABT
Hubert L. Allen,48320,ABBOTT LABORATORIES,706.709,52,4,7112.543,81.382,1078,45355,2018,MALE,ABT
Brian B. Yoor,51943,ABBOTT LABORATORIES,796.057,48,2,7227.658,105.125,1078,48541,2018,MALE,ABT
Robert B. Ford,59834,ABBOTT LABORATORIES,784.25,44,3,7744.481,106.401,1078,54877,2018,MALE,ABT
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1900,64,1,22094.981,-3.399,1078,14300,2019,MALE,ABT
Brian B. Yoor,51943,ABBOTT LABORATORIES,825,49,3,6910.094,-4.394,1078,48541,2019,MALE,ABT
Robert B. Ford,59834,ABBOTT LABORATORIES,1000,45,2,9586.387,23.783,1078,54877,2019,MALE,ABT
Daniel Gesua Sive Salvadori,59836,ABBOTT LABORATORIES,704.923,40,4,6372.104,,1078,54878,2019,MALE,ABT
Lisa D. Earnhardt,63146,ABBOTT LABORATORIES,400.058,49,5,5941.174,,1078,57727,2019,FEMALE,ABT
Thomas M. McCoy,18718,ADVANCED MICRO DEVICES,625.604,59,1,4756.118,322.998,1161,18728,2010,MALE,AMD
Derrick R. Meyer,26736,ADVANCED MICRO DEVICES,925.381,48,2,4397.792,-15.435,1161,25959,2010,MALE,AMD
Emilio Ghilardi,40088,ADVANCED MICRO DEVICES,588.836,52,6,3232.675,25.752,1161,37979,2010,MALE,AMD
Thomas Josef Seifert,40089,ADVANCED MICRO DEVICES,524.992,47,3,3219.874,65.156,1161,37980,2010,MALE,AMD
Harry A. Wolin,43250,ADVANCED MICRO DEVICES,516.751,47,5,2453.278,,1161,40774,2010,MALE,AMD
Richard A. Bergman,43251,ADVANCED MICRO DEVICES,510.754,46,4,3416.785,,1161,40775,2010,MALE,AMD
Derrick R. Meyer,26736,ADVANCED MICRO DEVICES,83.623,49,7,9234.173,109.973,1161,25959,2011,MALE,AMD
Emilio Ghilardi,40088,ADVANCED MICRO DEVICES,597.397,53,3,2239.46,-30.724,1161,37979,2011,MALE,AMD
Thomas Josef Seifert,40089,ADVANCED MICRO DEVICES,566.046,48,2,3761.214,16.812,1161,37980,2011,MALE,AMD
Harry A. Wolin,43250,ADVANCED MICRO DEVICES,484.829,48,5,2224.422,-9.329,1161,40774,2011,MALE,AMD
Richard A. Bergman,43251,ADVANCED MICRO DEVICES,429.719,47,6,2939.066,-13.982,1161,40775,2011,MALE,AMD
Rory P. Read,45026,ADVANCED MICRO DEVICES,353.847,49,1,15610.351,,1161,42390,2011,MALE,AMD
Mark D. Papermaster,45027,ADVANCED MICRO DEVICES,105.768,49,4,3272.281,,1161,42391,2011,MALE,AMD
Thomas Josef Seifert,40089,ADVANCED MICRO DEVICES,494.826,49,6,2899.813,-22.902,1161,37980,2012,MALE,AMD
Rory P. Read,45026,ADVANCED MICRO DEVICES,1000.002,50,1,7298.328,-53.247,1161,42390,2012,MALE,AMD
Mark D. Papermaster,45027,ADVANCED MICRO DEVICES,549.994,50,4,2456.618,-24.926,1161,42391,2012,MALE,AMD
"Lisa T. Su, Ph.D.",46953,ADVANCED MICRO DEVICES,572.784,42,2,6011.445,,1161,37809,2012,FEMALE,AMD
Devinder Kumar,46954,ADVANCED MICRO DEVICES,423.689,56,5,1132.104,,1161,44121,2012,MALE,AMD
John Byrne,46955,ADVANCED MICRO DEVICES,392.175,41,3,2321.18,,1161,44122,2012,MALE,AMD
Rory P. Read,45026,ADVANCED MICRO DEVICES,1000.002,51,1,8211.49,12.512,1161,42390,2013,MALE,AMD
Mark D. Papermaster,45027,ADVANCED MICRO DEVICES,549.994,51,4,3171.551,29.102,1161,42391,2013,MALE,AMD
"Lisa T. Su, Ph.D.",46953,ADVANCED MICRO DEVICES,574.995,43,3,3591.408,-40.257,1161,37809,2013,FEMALE,AMD
Devinder Kumar,46954,ADVANCED MICRO DEVICES,508.875,57,5,4214.043,272.231,1161,44121,2013,MALE,AMD
John Byrne,46955,ADVANCED MICRO DEVICES,455,42,2,3271.987,40.962,1161,44122,2013,MALE,AMD
Rory P. Read,45026,ADVANCED MICRO DEVICES,1000.002,52,1,7729.545,-5.869,1161,42390,2014,MALE,AMD
Mark D. Papermaster,45027,ADVANCED MICRO DEVICES,549.994,52,4,3546.725,11.829,1161,42391,2014,MALE,AMD
"Lisa T. Su, Ph.D.",46953,ADVANCED MICRO DEVICES,656.823,44,3,11748.072,227.116,1161,37809,2014,FEMALE,AMD
Devinder Kumar,46954,ADVANCED MICRO DEVICES,514.882,58,6,2766.82,-34.343,1161,44121,2014,MALE,AMD
John Byrne,46955,ADVANCED MICRO DEVICES,506.362,43,5,4256.856,30.1,1161,44122,2014,MALE,AMD
Forrest E. Norrod,49997,ADVANCED MICRO DEVICES,91.732,49,2,2932.682,,1161,46838,2014,MALE,AMD
Mark D. Papermaster,45027,ADVANCED MICRO DEVICES,549.994,53,3,3883.791,9.504,1161,42391,2015,MALE,AMD
"Lisa T. Su, Ph.D.",46953,ADVANCED MICRO DEVICES,849.992,45,1,6559.194,-44.168,1161,37809,2015,FEMALE,AMD
Devinder Kumar,46954,ADVANCED MICRO DEVICES,530.005,59,5,2696.798,-2.531,1161,44121,2015,MALE,AMD
Forrest E. Norrod,49997,ADVANCED MICRO DEVICES,530.005,50,4,2822.3,-3.764,1161,46838,2015,MALE,AMD
James Robert Anderson,52407,ADVANCED MICRO DEVICES,288.456,43,2,4809.607,,1161,48957,2015,MALE,AMD
Mark D. Papermaster,45027,ADVANCED MICRO DEVICES,549.994,54,2,3711.133,-4.446,1161,42391,2016,MALE,AMD
"Lisa T. Su, Ph.D.",46953,ADVANCED MICRO DEVICES,886.34,46,1,11724.775,78.753,1161,37809,2016,FEMALE,AMD
Devinder Kumar,46954,ADVANCED MICRO DEVICES,530.005,60,4,3684.591,36.628,1161,44121,2016,MALE,AMD
Forrest E. Norrod,49997,ADVANCED MICRO DEVICES,530.005,51,3,3684.591,30.553,1161,46838,2016,MALE,AMD
James Robert Anderson,52407,ADVANCED MICRO DEVICES,499.99,44,5,3654.196,-24.023,1161,48957,2016,MALE,AMD
Mark D. Papermaster,45027,ADVANCED MICRO DEVICES,611.328,55,2,3027.87,-18.411,1161,42391,2017,MALE,AMD
"Lisa T. Su, Ph.D.",46953,ADVANCED MICRO DEVICES,924.997,47,1,8997.05,-23.265,1161,37809,2017,FEMALE,AMD
Devinder Kumar,46954,ADVANCED MICRO DEVICES,539.615,61,3,3191.892,-13.372,1161,44121,2017,MALE,AMD
Forrest E. Norrod,49997,ADVANCED MICRO DEVICES,530.005,52,4,3177.605,-13.76,1161,46838,2017,MALE,AMD
James Robert Anderson,52407,ADVANCED MICRO DEVICES,514.42,45,5,3150.528,-13.783,1161,48957,2017,MALE,AMD
Harry A. Wolin,43250,ADVANCED MICRO DEVICES,509.61,55,5,2815.772,,1161,40774,2018,MALE,AMD
Mark D. Papermaster,45027,ADVANCED MICRO DEVICES,587.015,56,2,3980.449,31.46,1161,42391,2018,MALE,AMD
"Lisa T. Su, Ph.D.",46953,ADVANCED MICRO DEVICES,961.057,48,1,13356.393,48.453,1161,37809,2018,FEMALE,AMD
Devinder Kumar,46954,ADVANCED MICRO DEVICES,557.204,62,3,3062.475,-4.055,1161,44121,2018,MALE,AMD
