EXEC_FULLNAME,CO_PER_ROL,CONAME,SALARY,AGE,EXECRANKANN,TDC1,TDC1_PCT,GVKEY,EXECID,YEAR,GENDER,TICKER,stock_price,eps,pe_ratio,roa,roe
Isabella Davidov Goren,43629,AMERICAN AIRLINES GROUP INC,551.193,52.0,3.0,9241.478,1499.312,1045,41119,2013,FEMALE,AAL,27.2,-11.25,-2.41778,-0.04338,0.67155
James B. Ream,46951,AMERICAN AIRLINES GROUP INC,581.196,57.0,2.0,10088.228,1510.285,1045,44119,2013,MALE,AAL,27.2,-11.25,-2.41778,-0.04338,0.67155
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,33.622,48.0,9.0,8279.828,,1045,46189,2013,MALE,AAL,27.2,-11.25,-2.41778,-0.04338,0.67155
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,35.724,56.0,8.0,8384.009,,1045,46190,2013,MALE,AAL,27.2,-11.25,-2.41778,-0.04338,0.67155
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,42.308,51.0,6.0,17661.13,,1045,46191,2013,MALE,AAL,27.2,-11.25,-2.41778,-0.04338,0.67155
J. Scott Kirby,49257,AMERICAN AIRLINES GROUP INC,42.868,46.0,5.0,13283.563,,1045,46192,2013,MALE,AAL,27.2,-11.25,-2.41778,-0.04338,0.67155
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,37.826,49.0,7.0,9590.929,,1045,46193,2013,MALE,AAL,27.2,-11.25,-2.41778,-0.04338,0.67155
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,563.86,49.0,5.0,5629.766,-32.006,1045,46189,2014,MALE,AAL,54.64,4.02,13.59204,0.06584,1.42603
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,566.067,57.0,4.0,5684.472,-32.199,1045,46190,2014,MALE,AAL,54.64,4.02,13.59204,0.06584,1.42603
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,687.884,52.0,1.0,12301.976,-30.344,1045,46191,2014,MALE,AAL,54.64,4.02,13.59204,0.06584,1.42603
J. Scott Kirby,49257,AMERICAN AIRLINES GROUP INC,642.512,47.0,2.0,8779.785,-33.905,1045,46192,2014,MALE,AAL,54.64,4.02,13.59204,0.06584,1.42603
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,591.254,50.0,3.0,6271.586,-34.609,1045,46193,2014,MALE,AAL,54.64,4.02,13.59204,0.06584,1.42603
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,584.178,50.0,3.0,5220.943,-7.262,1045,46189,2015,MALE,AAL,56.2,11.39,4.93415,0.15718,1.35049
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,584.178,58.0,4.0,5091.032,-10.44,1045,46190,2015,MALE,AAL,56.2,11.39,4.93415,0.15718,1.35049
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,231.538,53.0,5.0,11418.547,-7.181,1045,46191,2015,MALE,AAL,56.2,11.39,4.93415,0.15718,1.35049
J. Scott Kirby,49257,AMERICAN AIRLINES GROUP INC,660.375,48.0,1.0,8301.783,-5.444,1045,46192,2015,MALE,AAL,56.2,11.39,4.93415,0.15718,1.35049
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,609.577,51.0,2.0,6168.618,-1.642,1045,46193,2015,MALE,AAL,56.2,11.39,4.93415,0.15718,1.35049
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,600.936,51.0,2.0,4190.982,-19.727,1045,46189,2016,MALE,AAL,50.64,4.85,10.44124,0.05219,0.707
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,600.936,59.0,3.0,4220.486,-17.1,1045,46190,2016,MALE,AAL,50.64,4.85,10.44124,0.05219,0.707
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,0.0,54.0,6.0,140.763,-98.767,1045,46191,2016,MALE,AAL,50.64,4.85,10.44124,0.05219,0.707
J. Scott Kirby,49257,AMERICAN AIRLINES GROUP INC,475.625,49.0,5.0,9403.369,13.269,1045,46192,2016,MALE,AAL,50.64,4.85,10.44124,0.05219,0.707
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,641.306,52.0,1.0,3462.114,-43.875,1045,46193,2016,MALE,AAL,50.64,4.85,10.44124,0.05219,0.707
Maya Leibman,55169,AMERICAN AIRLINES GROUP INC,600.936,49.0,4.0,4220.275,,1045,51368,2016,FEMALE,AAL,50.64,4.85,10.44124,0.05219,0.707
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,616.396,52.0,2.0,4108.466,-1.969,1045,46189,2017,MALE,AAL,54.48,3.92,13.89796,0.03734,0.48879
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,616.396,60.0,3.0,4146.196,-1.76,1045,46190,2017,MALE,AAL,54.48,3.92,13.89796,0.03734,0.48879
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,0.0,55.0,5.0,18115.486,12769.494,1045,46191,2017,MALE,AAL,54.48,3.92,13.89796,0.03734,0.48879
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,710.769,53.0,1.0,8638.881,149.526,1045,46193,2017,MALE,AAL,54.48,3.92,13.89796,0.03734,0.48879
Maya Leibman,55169,AMERICAN AIRLINES GROUP INC,616.396,50.0,4.0,4117.593,-2.433,1045,51368,2017,FEMALE,AAL,54.48,3.92,13.89796,0.03734,0.48879
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,626.421,53.0,2.0,3850.153,-6.287,1045,46189,2018,MALE,AAL,59.08,3.04,19.43421,0.02331,-8.35503
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,626.421,61.0,3.0,3897.744,-5.992,1045,46190,2018,MALE,AAL,59.08,3.04,19.43421,0.02331,-8.35503
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,0.0,56.0,5.0,11999.517,-33.761,1045,46191,2018,MALE,AAL,59.08,3.04,19.43421,0.02331,-8.35503
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,722.329,54.0,1.0,6686.526,-22.6,1045,46193,2018,MALE,AAL,59.08,3.04,19.43421,0.02331,-8.35503
Maya Leibman,55169,AMERICAN AIRLINES GROUP INC,626.421,51.0,4.0,3861.268,-6.225,1045,51368,2018,FEMALE,AAL,59.08,3.04,19.43421,0.02331,-8.35503
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,648.214,54.0,2.0,4082.352,6.031,1045,46189,2019,MALE,AAL,37.23,3.8,9.79737,0.0281,-14.28814
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,648.214,62.0,3.0,4127.229,5.888,1045,46190,2019,MALE,AAL,37.23,3.8,9.79737,0.0281,-14.28814
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,0.0,57.0,5.0,11571.714,-3.565,1045,46191,2019,MALE,AAL,37.23,3.8,9.79737,0.0281,-14.28814
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,747.459,55.0,1.0,7089.307,6.024,1045,46193,2019,MALE,AAL,37.23,3.8,9.79737,0.0281,-14.28814
Maya Leibman,55169,AMERICAN AIRLINES GROUP INC,648.214,52.0,4.0,4105.727,6.331,1045,51368,2019,FEMALE,AAL,37.23,3.8,9.79737,0.0281,-14.28814
Steven M. Wheeler,25367,PINNACLE WEST CAPITAL CORP,352.364,61.0,6.0,1848.055,120.526,1075,24723,2010,MALE,PNW,42.68,3.1,13.76774,0.02832,0.09504
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,960.0,55.0,1.0,4804.487,20.195,1075,5835,2010,MALE,PNW,42.68,3.1,13.76774,0.02832,0.09504
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,800.0,56.0,2.0,2144.584,-9.418,1075,33218,2010,MALE,PNW,42.68,3.1,13.76774,0.02832,0.09504
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,468.0,52.0,5.0,1203.756,-21.99,1075,12755,2010,MALE,PNW,42.68,3.1,13.76774,0.02832,0.09504
Donald G. Robinson,42212,PINNACLE WEST CAPITAL CORP,550.0,56.0,4.0,2181.011,6.897,1075,39817,2010,MALE,PNW,42.68,3.1,13.76774,0.02832,0.09504
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,459.0,57.0,3.0,1793.193,-9.831,1075,40058,2010,MALE,PNW,42.68,3.1,13.76774,0.02832,0.09504
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1091.0,56.0,1.0,6697.916,39.41,1075,5835,2011,MALE,PNW,48.87,3.01,16.23588,0.02589,0.08882
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,800.0,57.0,2.0,2516.2,17.328,1075,33218,2011,MALE,PNW,48.87,3.01,16.23588,0.02589,0.08882
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,490.0,53.0,4.0,1563.091,29.851,1075,12755,2011,MALE,PNW,48.87,3.01,16.23588,0.02589,0.08882
Donald G. Robinson,42212,PINNACLE WEST CAPITAL CORP,610.0,57.0,3.0,2818.933,29.249,1075,39817,2011,MALE,PNW,48.87,3.01,16.23588,0.02589,0.08882
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,473.0,58.0,5.0,1753.572,-2.21,1075,40058,2011,MALE,PNW,48.87,3.01,16.23588,0.02589,0.08882
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1146.0,57.0,1.0,10122.665,51.132,1075,5835,2012,MALE,PNW,54.66,3.54,15.44068,0.02852,0.09604
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,900.0,58.0,2.0,6226.443,147.454,1075,33218,2012,MALE,PNW,54.66,3.54,15.44068,0.02852,0.09604
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,515.0,54.0,4.0,1435.839,-8.141,1075,12755,2012,MALE,PNW,54.66,3.54,15.44068,0.02852,0.09604
Donald G. Robinson,42212,PINNACLE WEST CAPITAL CORP,685.0,58.0,3.0,2957.382,4.911,1075,39817,2012,MALE,PNW,54.66,3.54,15.44068,0.02852,0.09604
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,487.0,59.0,5.0,1589.269,-9.37,1075,40058,2012,MALE,PNW,54.66,3.54,15.44068,0.02852,0.09604
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1203.3,58.0,1.0,7123.873,-29.625,1075,5835,2013,MALE,PNW,61.89,3.69,16.77236,0.03006,0.09681
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,925.0,59.0,2.0,2261.421,-63.68,1075,33218,2013,MALE,PNW,61.89,3.69,16.77236,0.03006,0.09681
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,540.0,55.0,3.0,1749.237,21.827,1075,12755,2013,MALE,PNW,61.89,3.69,16.77236,0.03006,0.09681
Donald G. Robinson,42212,PINNACLE WEST CAPITAL CORP,241.622,59.0,6.0,1855.018,-37.275,1075,39817,2013,MALE,PNW,61.89,3.69,16.77236,0.03006,0.09681
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,502.0,60.0,4.0,1684.828,6.013,1075,40058,2013,MALE,PNW,61.89,3.69,16.77236,0.03006,0.09681
Mark A. Schiavoni,48682,PINNACLE WEST CAPITAL CORP,485.0,57.0,5.0,1656.597,,1075,45681,2013,MALE,PNW,61.89,3.69,16.77236,0.03006,0.09681
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1240.0,59.0,1.0,7376.177,3.542,1075,5835,2014,MALE,PNW,71.11,3.59,19.8078,0.02778,0.09104
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,960.511,60.0,2.0,3732.274,65.041,1075,33218,2014,MALE,PNW,71.11,3.59,19.8078,0.02778,0.09104
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,570.0,56.0,3.0,1851.657,5.855,1075,12755,2014,MALE,PNW,71.11,3.59,19.8078,0.02778,0.09104
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,522.0,61.0,5.0,1995.302,18.428,1075,40058,2014,MALE,PNW,71.11,3.59,19.8078,0.02778,0.09104
Mark A. Schiavoni,48682,PINNACLE WEST CAPITAL CORP,563.958,58.0,4.0,1912.586,15.453,1075,45681,2014,MALE,PNW,71.11,3.59,19.8078,0.02778,0.09104
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1277.0,60.0,1.0,7833.951,6.206,1075,5835,2015,MALE,PNW,73.31,3.94,18.6066,0.0291,0.09539
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,1050.0,61.0,2.0,3144.924,-15.737,1075,33218,2015,MALE,PNW,73.31,3.94,18.6066,0.0291,0.09539
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,593.0,57.0,4.0,1927.443,4.093,1075,12755,2015,MALE,PNW,73.31,3.94,18.6066,0.0291,0.09539
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,544.0,62.0,5.0,1824.275,-8.571,1075,40058,2015,MALE,PNW,73.31,3.94,18.6066,0.0291,0.09539
Mark A. Schiavoni,48682,PINNACLE WEST CAPITAL CORP,640.0,59.0,3.0,2351.104,22.928,1075,45681,2015,MALE,PNW,73.31,3.94,18.6066,0.0291,0.09539
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1315.0,61.0,1.0,9240.37,17.953,1075,5835,2016,MALE,PNW,82.78,3.97,20.85139,0.02762,0.09202
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,1100.0,62.0,2.0,4042.927,28.554,1075,33218,2016,MALE,PNW,82.78,3.97,20.85139,0.02762,0.09202
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,620.0,58.0,4.0,2028.249,5.23,1075,12755,2016,MALE,PNW,82.78,3.97,20.85139,0.02762,0.09202
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,565.0,63.0,5.0,1912.159,4.817,1075,40058,2016,MALE,PNW,82.78,3.97,20.85139,0.02762,0.09202
Mark A. Schiavoni,48682,PINNACLE WEST CAPITAL CORP,680.0,60.0,3.0,2441.379,3.84,1075,45681,2016,MALE,PNW,82.78,3.97,20.85139,0.02762,0.09202
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1355.0,62.0,1.0,8161.669,-11.674,1075,5835,2017,MALE,PNW,92.48,4.37,21.16247,0.0287,0.09756
Randall K. Edington,34831,PINNACLE WEST CAPITAL CORP,244.11,63.0,6.0,2365.54,-41.489,1075,33218,2017,MALE,PNW,92.48,4.37,21.16247,0.0287,0.09756
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,640.0,59.0,3.0,2245.209,10.697,1075,12755,2017,MALE,PNW,92.48,4.37,21.16247,0.0287,0.09756
David P. Falck,42478,PINNACLE WEST CAPITAL CORP,585.0,64.0,5.0,1970.525,3.052,1075,40058,2017,MALE,PNW,92.48,4.37,21.16247,0.0287,0.09756
Mark A. Schiavoni,48682,PINNACLE WEST CAPITAL CORP,710.0,61.0,2.0,2666.349,9.215,1075,45681,2017,MALE,PNW,92.48,4.37,21.16247,0.0287,0.09756
Robert S. Bement,58578,PINNACLE WEST CAPITAL CORP,600.0,61.0,4.0,2144.049,,1075,53931,2017,MALE,PNW,92.48,4.37,21.16247,0.0287,0.09756
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1395.0,63.0,1.0,9935.099,21.729,1075,5835,2018,MALE,PNW,92.64,4.56,20.31579,0.02893,0.09785
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,665.0,60.0,2.0,2080.149,-7.352,1075,12755,2018,MALE,PNW,92.64,4.56,20.31579,0.02893,0.09785
Mark A. Schiavoni,48682,PINNACLE WEST CAPITAL CORP,507.202,62.0,5.0,1412.608,-47.021,1075,45681,2018,MALE,PNW,92.64,4.56,20.31579,0.02893,0.09785
Robert S. Bement,58578,PINNACLE WEST CAPITAL CORP,625.0,62.0,3.0,2109.42,-1.615,1075,53931,2018,MALE,PNW,92.64,4.56,20.31579,0.02893,0.09785
Daniel T. Froetscher,61548,PINNACLE WEST CAPITAL CORP,494.534,56.0,6.0,1195.197,,1075,56356,2018,MALE,PNW,92.64,4.56,20.31579,0.02893,0.09785
Jeffrey B. Guldner,61549,PINNACLE WEST CAPITAL CORP,575.0,52.0,4.0,1871.942,,1075,56357,2018,MALE,PNW,92.64,4.56,20.31579,0.02893,0.09785
"Donald E. Brandt, CPA",27518,PINNACLE WEST CAPITAL CORP,1308.521,64.0,1.0,9560.511,-3.77,1075,5835,2019,MALE,PNW,99.81,4.79,20.83716,0.02913,0.09913
James R. Hatfield,37250,PINNACLE WEST CAPITAL CORP,686.0,61.0,4.0,2274.42,9.339,1075,12755,2019,MALE,PNW,99.81,4.79,20.83716,0.02913,0.09913
Robert S. Bement,58578,PINNACLE WEST CAPITAL CORP,645.0,63.0,5.0,2165.077,2.638,1075,53931,2019,MALE,PNW,99.81,4.79,20.83716,0.02913,0.09913
Daniel T. Froetscher,61548,PINNACLE WEST CAPITAL CORP,540.0,57.0,6.0,1693.257,41.672,1075,56356,2019,MALE,PNW,99.81,4.79,20.83716,0.02913,0.09913
Jeffrey B. Guldner,61549,PINNACLE WEST CAPITAL CORP,777.644,53.0,2.0,3390.261,81.109,1075,56357,2019,MALE,PNW,99.81,4.79,20.83716,0.02913,0.09913
Robert E. Smith,63505,PINNACLE WEST CAPITAL CORP,600.0,49.0,3.0,2020.553,,1075,58043,2019,MALE,PNW,99.81,4.79,20.83716,0.02913,0.09913
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1893.371,55.0,1.0,20023.899,-1.455,1078,14300,2010,MALE,ABT,56.79,2.98,19.05705,0.0778,0.20663
Richard A. Gonzalez,18545,ABBOTT LABORATORIES,742.08,56.0,2.0,7288.253,,1078,18569,2010,MALE,ABT,56.79,2.98,19.05705,0.0778,0.20663
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,941.923,56.0,3.0,7245.244,-39.781,1078,24400,2010,MALE,ABT,56.79,2.98,19.05705,0.0778,0.20663
Laura J. Schumacher,37037,ABBOTT LABORATORIES,823.329,47.0,4.0,6498.332,33.553,1078,35171,2010,FEMALE,ABT,56.79,2.98,19.05705,0.0778,0.20663
James V. Mazzo,40086,ABBOTT LABORATORIES,814.648,53.0,5.0,11109.909,5.132,1078,16462,2010,MALE,ABT,56.79,2.98,19.05705,0.0778,0.20663
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1900.0,56.0,1.0,18591.822,-7.152,1078,14300,2011,MALE,ABT,56.44,3.03,18.62706,0.07845,0.19347
Richard A. Gonzalez,18545,ABBOTT LABORATORIES,825.0,57.0,4.0,4326.578,-40.636,1078,18569,2011,MALE,ABT,56.44,3.03,18.62706,0.07845,0.19347
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,946.7,57.0,2.0,5198.813,-28.245,1078,24400,2011,MALE,ABT,56.44,3.03,18.62706,0.07845,0.19347
Laura J. Schumacher,37037,ABBOTT LABORATORIES,827.5,48.0,3.0,4071.145,-37.351,1078,35171,2011,FEMALE,ABT,56.44,3.03,18.62706,0.07845,0.19347
Edward L. Michael,45025,ABBOTT LABORATORIES,634.4,54.0,5.0,3799.658,,1078,42389,2011,MALE,ABT,56.44,3.03,18.62706,0.07845,0.19347
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1900.0,57.0,3.0,16898.889,-9.106,1078,14300,2012,MALE,ABT,72.47,3.76,19.27394,0.08869,0.22316
Richard A. Gonzalez,18545,ABBOTT LABORATORIES,863.942,58.0,5.0,7155.074,65.375,1078,18569,2012,MALE,ABT,72.47,3.76,19.27394,0.08869,0.22316
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,946.7,58.0,1.0,6884.95,32.433,1078,24400,2012,MALE,ABT,72.47,3.76,19.27394,0.08869,0.22316
Laura J. Schumacher,37037,ABBOTT LABORATORIES,831.682,49.0,2.0,8414.545,106.687,1078,35171,2012,FEMALE,ABT,72.47,3.76,19.27394,0.08869,0.22316
Carlos Alban,46615,ABBOTT LABORATORIES,615.769,49.0,4.0,4401.581,,1078,43709,2012,MALE,ABT,72.47,3.76,19.27394,0.08869,0.22316
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1900.0,58.0,1.0,13467.295,-20.307,1078,14300,2013,MALE,ABT,38.81,1.52,25.53289,0.05997,0.10234
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,969.748,59.0,2.0,4105.277,-40.373,1078,24400,2013,MALE,ABT,38.81,1.52,25.53289,0.05997,0.10234
Richard W. Ashley,48319,ABBOTT LABORATORIES,629.532,69.0,4.0,3545.806,,1078,45354,2013,MALE,ABT,38.81,1.52,25.53289,0.05997,0.10234
Hubert L. Allen,48320,ABBOTT LABORATORIES,650.0,47.0,3.0,2625.637,,1078,45355,2013,MALE,ABT,38.81,1.52,25.53289,0.05997,0.10234
Brian J. Blaser,48321,ABBOTT LABORATORIES,614.608,48.0,5.0,2599.102,,1078,45356,2013,MALE,ABT,38.81,1.52,25.53289,0.05997,0.10234
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1973.077,59.0,1.0,16179.509,20.139,1078,14300,2014,MALE,ABT,46.5,1.13,41.15044,0.05534,0.1061
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,1012.604,60.0,2.0,4938.687,20.301,1078,24400,2014,MALE,ABT,46.5,1.13,41.15044,0.05534,0.1061
John M. Capek,37036,ABBOTT LABORATORIES,696.807,52.0,4.0,3269.165,,1078,23166,2014,MALE,ABT,46.5,1.13,41.15044,0.05534,0.1061
Brian J. Blaser,48321,ABBOTT LABORATORIES,690.0,49.0,5.0,3686.654,41.843,1078,45356,2014,MALE,ABT,46.5,1.13,41.15044,0.05534,0.1061
John C. Landgraf,49996,ABBOTT LABORATORIES,743.269,61.0,3.0,3370.504,,1078,46837,2014,MALE,ABT,46.5,1.13,41.15044,0.05534,0.1061
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1900.0,60.0,1.0,18789.474,16.131,1078,14300,2015,MALE,ABT,51.74,1.73,29.90751,0.10723,0.20852
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,975.1,61.0,2.0,2157.725,-56.31,1078,24400,2015,MALE,ABT,51.74,1.73,29.90751,0.10723,0.20852
John M. Capek,37036,ABBOTT LABORATORIES,675.0,53.0,3.0,2488.549,-23.878,1078,23166,2015,MALE,ABT,51.74,1.73,29.90751,0.10723,0.20852
Brian J. Blaser,48321,ABBOTT LABORATORIES,675.0,50.0,4.0,2604.945,-29.341,1078,45356,2015,MALE,ABT,51.74,1.73,29.90751,0.10723,0.20852
Brian B. Yoor,51943,ABBOTT LABORATORIES,437.884,45.0,6.0,1738.858,,1078,48541,2015,MALE,ABT,51.74,1.73,29.90751,0.10723,0.20852
Michael J. Warmuth,51944,ABBOTT LABORATORIES,675.0,52.0,5.0,2247.118,,1078,48542,2015,MALE,ABT,51.74,1.73,29.90751,0.10723,0.20852
"Miles D. White, M.B.A.",13896,ABBOTT LABORATORIES,1900.0,61.0,1.0,16424.876,-12.585,1078,14300,2016,MALE,ABT,45.79,0.71,64.49296,0.02658,0.06817
Thomas Craig Freyman,24994,ABBOTT LABORATORIES,999.443,62.0,2.0,6749.297,212.797,1078,24400,2016,MALE,ABT,45.79,0.71,64.49296,0.02658,0.06817
Brian J. Blaser,48321,ABBOTT LABORATORIES,692.057,51.0,3.0,4547.747,74.581,1078,45356,2016,MALE,ABT,45.79,0.71,64.49296,0.02658,0.06817
Brian B. Yoor,51943,ABBOTT LABORATORIES,584.231,46.0,5.0,3137.094,80.411,1078,48541,2016,MALE,ABT,45.79,0.71,64.49296,0.02658,0.06817
